"Plant_id","ID","Plot","Plant_sp","Plant_sp_complete","N_flowers","Area_m2","Height_cm","sync_index_het","sync_index_con","Cover_con","Cover_het"
"1",1,"A","UPAR","Ulex_parviflorus",1167,1.508,71,0.116449791959293,0.932133676092545,0.03125,0.5
"10",10,"A","UPAR","Ulex_parviflorus",21,0.503,79,0.112420225822288,0.936507936507937,0,0.46875
"100",608,"F","ROFF","Rosmarinus_officinalis",1579,0.436,112,0.291937382810797,0.959229058561898,0,0.375
"101",609,"F","ROFF","Rosmarinus_officinalis",2728,3.261,117,0.222241389224311,0.922653958944282,0,0.3125
"102",610,"F","ROFF","Rosmarinus_officinalis",12111,3.38,173,0.297298089694856,0.955853161704156,0.21875,0.5625
"103",611,"F","ROFF","Rosmarinus_officinalis",4249,1.793,170,0.3007953665025,0.946633508335636,0.03125,0.71875
"104",612,"F","ROFF","Rosmarinus_officinalis",1642,0.801,114,0.295179991501244,0.953353973168215,0.09375,0.125
"105",613,"F","ROFF","Rosmarinus_officinalis",184,0.369,67,0.365942028985507,1,0.1875,0.46875
"106",16,"A","HCOM","Halimium_commutatum",827,0.586,78,0.293814432989691,0.977422790202343,0.28125,0.5
"107",17,"A","HCOM","Halimium_commutatum",506,0.402,60,0.30512204066664,0.959815546772068,0.15625,0.09375
"108",18,"A","HCOM","Halimium_commutatum",116,0.196,43,0.293725559900462,0.96264367816092,0.1875,0.625
"109",19,"A","HCOM","Halimium_commutatum",190,0.388,63,0.298853884697345,0.951582867783985,0.125,0.375
"11",11,"A","UPAR","Ulex_parviflorus",156,0.199,57,0.111353423209093,0.934188034188034,0.03125,0.5
"110",20,"A","HCOM","Halimium_commutatum",377,0.262,34,0.289379045792376,0.961821705426357,0.21875,0.34375
"111",21,"A","HCOM","Halimium_commutatum",170,0.146,38,0.318799272286234,1,0.03125,1.0625
"112",22,"A","HCOM","Halimium_commutatum",193,0.286,62,0.316222424015811,0.949568221070812,0,0.25
"113",23,"A","HCOM","Halimium_commutatum",1066,0.872,66,0.314499425525429,0.970684862269396,0.03125,0.375
"114",24,"A","HCOM","Halimium_commutatum",253,0.294,52,0.311270481597689,0.994524959742351,0.09375,0.8125
"115",25,"A","HCOM","Halimium_commutatum",601,1.116,60,0.297490450568859,0.958432934926959,0.1875,0.5625
"116",26,"A","HCOM","Halimium_commutatum",323,0.328,56,0.311837128235556,0.970503597122302,0.4375,0.28125
"117",27,"A","HCOM","Halimium_commutatum",1403,0.944,73,0.298401241656046,0.983190534475724,0.125,0.46875
"118",28,"A","HCOM","Halimium_commutatum",481,0.821,65,0.307327946503204,0.990575190575191,0.25,0.4375
"119",29,"A","HCOM","Halimium_commutatum",183,0.215,35,0.291532871387527,0.961384335154827,0.03125,0.4375
"12",12,"A","UPAR","Ulex_parviflorus",452,0.392,79,0.103959492747012,0.933628318584071,0.09375,1.09375
"120",30,"A","HCOM","Halimium_commutatum",240,0.451,75,0.29573883161512,0.958666666666667,0.03125,0.125
"121",128,"B","HCOM","Halimium_commutatum",521,0.458,58,0.305486313337216,0.947921568627451,0.25,0.15625
"122",129,"B","HCOM","Halimium_commutatum",544,0.54,51,0.338216977348055,0.969864960909737,0.375,0.84375
"123",130,"B","HCOM","Halimium_commutatum",472,0.687,54,0.339508144362823,0.967741935483871,0.09375,0.65625
"124",131,"B","HCOM","Halimium_commutatum",187,0.229,67,0.331074283898978,0.954723707664884,0.1875,0.4375
"125",132,"B","HCOM","Halimium_commutatum",264,0.093,85,0.37790165571179,0.98468720821662,0.15625,0.59375
"126",133,"B","HCOM","Halimium_commutatum",882,0.539,53,0.391759534697864,0.989237668161435,0.28125,0.3125
"127",134,"B","HCOM","Halimium_commutatum",387,0.421,66,0.319108655051552,0.962962962962963,0.1875,0.8125
"128",135,"B","HCOM","Halimium_commutatum",659,0.674,53,0.332726546197221,0.960657698056801,0.09375,0.5
"129",136,"B","HCOM","Halimium_commutatum",79,0.176,47,0.364475545298891,0.984962406015037,0.125,0.4375
"13",13,"A","UPAR","Ulex_parviflorus",967,0.893,67,0.106696233435324,0.934091692519821,0.03125,0.6875
"130",137,"B","HCOM","Halimium_commutatum",139,0.315,97,0.364289593516314,0.967369901547117,0.375,0.125
"131",138,"B","HCOM","Halimium_commutatum",188,0.224,51,0.36280808931957,0.973758865248227,0.375,0.6875
"132",139,"B","HCOM","Halimium_commutatum",1054,0.697,67,0.344195836906525,0.962642169728784,0.15625,0.4375
"133",140,"B","HCOM","Halimium_commutatum",929,0.536,34,0.350225555099889,0.958086785009862,0.15625,0.4375
"134",141,"B","HCOM","Halimium_commutatum",219,0.664,53,0.287671232876712,0.964992389649924,0.09375,0.4375
"135",142,"B","HCOM","Halimium_commutatum",320,0.583,51,0.377320544554455,0.97875,0.1875,0.28125
"136",244,"C","HCOM","Halimium_commutatum",166,0.292,48,0.391642519444868,0.960642570281125,0.25,0.46875
"137",245,"C","HCOM","Halimium_commutatum",643,0.629,51,0.392916778884999,0.96,0.0625,0.59375
"138",246,"C","HCOM","Halimium_commutatum",244,0.243,55,0.403361916428474,0.970250896057348,0.09375,0.5
"139",247,"C","HCOM","Halimium_commutatum",179,0.23,28,0.390425005303727,0.964618249534451,0.21875,0.46875
"14",14,"A","UPAR","Ulex_parviflorus",209,0.192,51,0.112612834804913,0.933652312599681,0.09375,0.65625
"140",248,"C","HCOM","Halimium_commutatum",18,0.075,48,0.39521800281294,0.97037037037037,0.125,0.46875
"141",249,"C","HCOM","Halimium_commutatum",151,0.223,40,0.416884611361021,0.975757575757576,0.09375,0.34375
"142",250,"C","HCOM","Halimium_commutatum",390,0.621,34,0.410553606832393,0.979317269076305,0.3125,0.46875
"143",251,"C","HCOM","Halimium_commutatum",585,0.418,42,0.404770427255865,0.964353041988003,0.0625,0.46875
