Plant_id;Start;End;N_weeks;Flowering_min
100;1;9;9;37800
101;1;9;9;37800
102;1;9;9;37800
103;1;9;9;37800
104;1;9;9;37800
106;1;8;8;33600
107;1;8;8;33600
109;1;7;7;29400
110;1;8;8;33600
111;3;7;5;21000
112;1;7;7;29400
113;1;8;8;33600
114;2;7;6;25200
115;1;7;7;29400
116;1;8;8;33600
117;2;9;8;33600
118;2;8;7;29400
119;1;8;8;33600
120;2;8;7;29400
121;1;8;8;33600
122;1;8;8;33600
123;1;8;8;33600
124;1;7;7;29400
125;2;8;6;25200
126;2;7;6;25200
127;1;8;8;33600
128;1;8;8;33600
129;2;7;6;25200
130;1;7;7;29400
131;1;7;7;29400
132;1;8;8;33600
133;1;8;8;33600
134;1;7;6;25200
135;1;7;7;29400
136;1;8;8;33600
137;1;8;8;33600
138;1;8;8;33600
139;1;7;7;29400
140;2;6;5;21000
141;1;7;7;29400
142;1;8;7;29400
143;1;7;7;29400
144;1;8;8;33600
145;1;7;7;29400
146;1;8;8;33600
147;1;8;8;33600
148;1;8;8;33600
149;3;8;6;25200
150;2;7;6;25200
151;1;7;7;29400
152;2;7;6;25200
153;1;7;7;29400
154;1;7;7;29400
155;1;7;7;29400
156;1;7;7;29400
157;1;8;8;33600
158;2;7;6;25200
16;2;8;7;29400
160;1;8;8;33600
161;1;6;6;25200
162;1;8;7;29400
163;1;7;7;29400
164;1;8;8;33600
165;1;7;7;29400
166;2;6;5;21000
167;3;6;4;16800
168;2;4;3;12600
169;2;6;5;21000
17;1;8;8;33600
171;2;4;3;12600
172;3;6;4;16800
173;2;6;5;21000
175;2;5;4;16800
177;3;6;4;16800
178;2;6;5;21000
179;3;4;2;8400
18;1;7;6;25200
180;2;6;5;21000
181;1;8;8;33600
182;1;8;8;33600
183;1;7;6;25200
184;1;8;8;33600
185;1;8;8;33600
186;2;8;7;29400
187;2;8;7;29400
188;1;8;8;33600
189;2;7;6;25200
19;1;9;8;33600
190;1;7;7;29400
191;1;8;8;33600
192;1;7;7;29400
193;1;7;7;29400
194;1;6;6;25200
195;1;7;7;29400
196;2;7;6;25200
197;2;7;6;25200
198;2;8;7;29400
199;2;7;6;25200
20;1;9;9;37800
200;2;7;6;25200
201;2;8;7;29400
202;2;7;6;25200
203;2;7;6;25200
205;2;8;7;29400
207;2;7;6;25200
208;2;8;7;29400
209;2;7;5;21000
21;1;9;9;37800
210;2;8;7;29400
211;2;6;5;21000
215;2;6;5;21000
216;2;6;5;21000
219;2;6;5;21000
22;1;8;7;29400
220;2;6;5;21000
225;2;6;5;21000
226;2;6;4;16800
227;2;6;5;21000
229;2;6;5;21000
23;3;8;6;25200
230;2;6;5;21000
233;2;4;3;12600
234;2;6;5;21000
236;2;6;5;21000
237;2;8;6;25200
238;2;9;6;25200
239;2;9;7;29400
24;1;9;8;33600
240;2;8;6;25200
241;2;6;4;16800
244;3;6;4;16800
245;2;6;5;21000
246;2;6;5;21000
247;2;6;5;21000
249;2;6;5;21000
25;2;7;6;25200
251;2;5;4;16800
252;2;6;5;21000
253;2;6;5;21000
254;2;6;5;21000
255;2;6;5;21000
256;2;5;4;16800
257;2;6;4;16800
258;2;4;3;12600
259;2;4;3;12600
26;1;8;8;33600
260;2;6;5;21000
261;3;11;9;37800
262;3;11;9;37800
263;3;11;9;37800
264;5;10;6;25200
265;4;11;8;33600
266;3;11;9;37800
