"","Acmaeodera_sp","Andrena_sp","Apis_mellifera","Bombus_terrestris","Buprestidae_sp1","Buprestidae_sp2","Chasmatopterus_sp","Coptocephala_sp","Curculionidae","Dasypoda_sp","Diptera_sp1","Diptera_sp10","Diptera_sp4","Halictus_sp","Heliotaurus_ruficollis","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp4","Lasioglossum_sp6","Lobonyx_aeneus","Malachius_sp","Megachile_sp","Mordellidae_sp1","Mylabris_sp1","Nustera_distigma","Oedemera_sp","Osmia_sp","Paragus_tibialis","Phthiria_sp","Phthiria_sp1","Phthiria_sp2","Rhyncomyia_cupraea","Syritta_pipiens","Syrphidae_sp1","Tituboea_sp","Usia_sp","Vespula_sp","Xylocopa_cantabrita"
"471",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152394721834648,0,0,0,0,0,0.0142865403815044,0,0
"472",0,0,0.00322156547697418,0.000138677764469265,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,4.90732676018052,0,0,0,0,0,0,0,0,0,0,0,0.00152394721834648,0.00293383514207467,0,0,0,0,0,0,0
"473",0.00181608806215731,0,0,0,0,0,0.00126839060479591,0,0.0808436305674403,0,0,0,0,0,0.000388302124137572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152394721834648,0,0,0,0,0,0,0,0
"474",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00293383514207467,0,0,0,0,0,0,0
"475",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"476",0,0,0,0,0.0020241082665467,0,0.00126839060479591,0,0,0,0,0,0,0,0,0.00192906269795075,0,0,0,0,0,0,0,0,0,0.011997764062227,0,0,0.0251091141377936,0.00152394721834648,0,0,0,0,0,0,0,0
"477",0,0,0.00322156547697418,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152394721834648,0,0.00367517960494002,0,0,0,0,0,0
"478",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"479",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0.00836759158841381,0,0,0,0.00192906269795075,0,0,0,0.000727254613317815,0,0,0,0,0,0,0,0,0,0.00152394721834648,0,0,0,0,0,0,0,0
"480",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
