"","N_flowers","sum_pol","N_seeds_per_visit_flower","degree","specificity"
"366",442,1073.72300210931,0.00845969067141266,2,0.978121314732785
"367",201,573.170706730244,0.036871506319797,8,0.262141557845572
"368",71,3204.20005855848,0.00699880934055786,7,0.305981887654035
"369",409,1430.92512024244,0.110502862197722,6,0.694177849276694
"370",212,1934.57108545537,0.0091903230780777,10,0.478866423751951
"371",630,1222.5870674123,0.0106985288297456,14,0.313176849863287
"372",33,431.43423398502,0.0437174724624308,3,0.44802345022798
"373",159,973.887997309493,0.0260108121971324,6,0.575806448277734
"374",153,2155.26468833382,0.00737620174802586,8,0.91643178842323
"375",252,1827.44428127692,0.00916890495008512,9,0.404071452168494
"376",345,1335.27895086928,0.00740486090493707,8,0.662543754581004
"377",29,111.183960706233,0.00391136287468621,1,0.999999999999994
"378",14,387.550445012988,0.00391136287468621,1,0.999999999999994
"379",40,138.507303004633,0.0112719030608115,5,0.134304596996586
"381",259,981.588411605096,0.0497903400867953,7,0.76511174683056
"382",554,2772.49799276104,0.00488668791681063,11,0.539548566691704
"383",73,9295.86461734743,0.00645897358832063,3,0.756585688121614
"384",90,1834.38359245947,0.0025080450971528,3,0.529886210921289
"385",292,499.311571221491,0.00207468117950157,4,0.611987070052905
"386",674,2975.60048097486,0.0213485025263333,12,0.315802048470471
"387",76,871.293991955966,0.0571000216485998,7,0.226370031765795
"388",30,1390.47751249306,0.0113486340497996,3,0.934986093374469
"389",233,1235.52977781129,0.00405342376346249,8,0.474291323674794
"390",185,4458.04035284623,0.00669809443336256,11,0.191161360377195
"391",563,1798.06739890124,0.00585052220555431,11,0.222121527386986
"392",32,1775.99876032775,0.00210353306249831,4,0.316090808723163
"393",302,1540.22519903867,0.00747012202119991,7,0.474317848301488
"395",54,161.425455107044,0.0188349138849425,2,0.491283239475505
"469",21,1977.39292933083,0.00192658353556688,4,0.73127367887299
"470",17,268.015762788357,0.00378636779308804,3,0.34081251795894
"396",18,140.890534448511,0.00245753942213658,1,0.999999999999997
"397",45,1205.01715314743,0.00975902580796003,4,0.629615776017082
"398",12,602.690395907148,0.00783705875593736,1,0.999999999999998
"399",121,1104.09897393867,0.00430121820841973,3,0.861244650568357
"400",33,1438.09467414503,0.00473532035092005,3,0.478786954392766
"401",32,459.743289786894,0.0031844511484114,2,0.513006011281854
"402",94,323.281744912427,0.00780933352505342,7,0.218407792770978
"403",27,1347.71481811037,0.00337665997009036,5,0.278458078549896
"404",62,1075.21479939115,0.0110456651338102,5,0.814579095100245
"405",29,343.34374112972,0.00560814384226262,2,0.634839659762205
"406",69,860.545023513441,0.00736626032696987,5,0.36172847734644
"408",82,804.953912338032,0.00532256491460705,4,0.293700908407851
"409",60,3112.24127638052,0.00722066439637623,7,0.490091365141791
"410",47,685.605640345605,0.0117827361922999,3,0.787031669397817
"411",106,1381.39113710482,0.112967833111802,5,0.768708186928746
"412",158,954.761504358242,0.00716537342092079,8,0
"413",417,1014.3616942105,0.00448663433468841,6,0.711243080566275
"414",77,2717.6198739254,0.00157500801088826,5,0.832239778150907
"415",120,3268.67502160862,0.00913368099641574,10,0.0430390803771794
"416",87,907.682499915981,0.0126347869233211,4,0.772913093445213
"417",33,2071.80285595183,0.00587421081531179,2,0.495194032727119
"418",4,1291.61230507084,0.0031844511484114,2,0.634839659762205
"419",76,2957.41288675462,0.00504255018640382,3,0.960675933991959
"420",186,654.288223438543,0.00615109459316432,7,0.779378431233545
"421",223,1241.46904936462,0.0104608122451393,5,0.741882949338879
"422",770,1080.26053886234,0.0606684629260988,15,0.693117918114612
"423",280,1187.54815087817,0.00407072088846177,4,0.519123702683869
"424",9,3383.08220555215,0.00245753942213658,1,1
"425",93,2295.91427706619,0.00898529800603135,7,0.382955018017441
"426",7,1159.84941958394,0.00391136287468621,1,0.999999999999995
"427",219,4145.26878611358,0.0214100809153983,9,0.864297013087441
"428",125,633.374291181072,0.00329542614012013,3,0.862409225782537
"429",92,3231.70789198929,0.00223855701937301,7,0.0770604080830258
"430",828,2486.1228021164,0.00786412161646998,15,0.388663623752892
"431",51,3343.72826658899,0.00671073766908058,6,0.489954245296839
"432",236,969.56743137539,0.00982326125459663,6,0.44706972977713
"433",258,2218.74958127605,0.0133063294812001,6,0.533625199457777
"434",37,1614.72166826108,0.00439629749533701,4,0.717816458465471
"435",211,1594.85860211113,0.0061148196655591,3,0.89636680935822
"561",27,758.179766829636,0.00364529590163705,2,0.710487430412555
"562",6,483.599312912127,0.00364529590163705,2,0.488600945824103
"564",676,1123.41264763449,0.00299629932803431,8,0.258361948232518
"565",254,723.789671958896,0.019319909356975,6,0.488134509981774
