"","N_flowers","sum_pol","N_seeds_per_visit_flower","degree","specificity"
"471",885,932.158087770368,0.00387924860534703,5,0.307692639104838
"472",2017,341.603075943331,0.614841317651158,8,0.341909236641807
"473",540,1748.67571571619,0.0171680717153755,5,0.733719798302343
"474",7,2462.73247819121,0.00293383514207467,1,0.999999999999998
"475",29,936.177162518862,0.00126839060479591,1,0.999999999999997
"476",488,1824.80613971344,0.00730873116461007,6,0.335450339222463
"477",687,1548.87054025488,0.00200107462119082,6,0.806182617142948
"478",3,307.470053848734,0.00126839060479591,1,0.999999999999996
"479",246,2200.31545646949,0.00276324934456495,5,0.599537104432361
"480",45,153.167583086392,0.00126839060479591,1,0.999999999999995
"482",85,4679.82789310368,0.00502741424306007,3,0.981561882845864
"483",22,3817.80506219516,0.00126839060479591,1,0.999999999999998
"484",65,970.092836097976,0.00126839060479591,1,0.999999999999997
"485",2,442.794324361654,0.00126839060479591,1,0.999999999999997
"486",535,8663.88217612043,0.00268307005767714,6,0.279941191071663
"487",217,1876.90525295977,0.00663307733351146,2,0.986289169362373
"488",921,1654.7074968221,0.000840200583478231,7,0.13560673814208
"489",245,4526.65772746108,0.00576112435351416,5,0.490829656857453
"490",1,578.373265676985,0.00663307733351146,2,0.886515102459934
"491",48,2349.54531997541,0.00663307733351146,2,0.841526392484505
"493",944,1195.71423553197,0.0539534610721975,7,0.307671194467428
"494",417,283.24806177776,0.00649052084170192,4,0.724257377249454
"495",201,5049.87285504851,0.00124005777353356,7,0.480038488365098
"496",351,5883.64088732949,0.000767037078849304,5,0.458558004139495
"497",199,3063.43922058268,0.00506794366468852,5,0.455181955184442
"498",90,1465.2590743438,0.00126839060479591,1,0.999999999999997
"499",99,1663.03293455497,0.00126839060479591,1,0.999999999999998
"500",107,9920.73334103283,0.000924126907444313,4,0.667334718533126
"501",14,8371.76417861306,0.0131887523712947,2,0.937828270568436
"502",37,4131.31474184633,0.00506507245499122,3,0.414279032158877
"503",117,1110.05612161502,0.00502741424306007,3,0.31860315622505
"504",94,8812.66601893429,0.00210111287343529,2,0.943847420660581
"505",159,1241.52017190492,0.0045514855970535,3,0.670189307930738
"506",371,2213.99128132803,0.000828346364466741,2,0.76197586769439
"507",549,1674.33536477464,0.00162989764223972,4,0.372997500456054
"509",71,1917.15003653047,0.00663307733351146,2,0.891402389311868
"510",5,2592.24459450496,0.0123635983732705,3,0.697925763040782
"511",273,1061.13938036044,0.00334021697492206,6,0.363875464904083
"512",21,7339.05608274878,0.00126839060479591,1,0.999999999999995
"513",127,2445.42618523525,0.00325538992990054,6,0
"514",14,116.377473551272,0.00126839060479591,1,0.999999999999997
"515",336,3265.7687439816,0.00632419232766259,6,0.350495641347111
"516",2,967.063528967794,0.00152394721834648,1,0.999999999999998
"517",57,1991.2243768802,0.00154223933347661,2,0.784704747491862
"518",74,1173.04851022016,0.0439298716047952,6,0.575585957344257
"519",84,12309.4860232699,0.00309715506035893,6,0.426285071037508
"520",48,3313.70297369396,0.00892193562224235,3,0.796809911434345
"521",77,2413.02344200758,0.0088294189818275,3,0.656006960924267
"522",195,5597.93533830436,0.00272910167657576,7,0.328477420045615
"523",153,2085.26812024432,0.00714547373222109,4,0.918452690390095
"524",103,4216.88801580882,0.000794155339370417,6,0.290686537741686
"525",155,3136.46371663409,0.00851236920592699,7,0.0170900117256341
"526",66,645.581864471413,0.00378248011146409,4,0.91749534782591
"527",278,2050.74894047466,0.00769818032269981,9,0.419263230765538
"528",37,8706.21412811486,0.00128107339194925,4,0.727386187037416
"529",376,1242.454985272,0.00104409096962475,5,0.36887572445397
"530",186,6530.22959449333,0.00446199932507176,8,0.48723268526387
"533",767,1291.1751103998,0.0194863845001351,5,0.77591337507527
"534",56,19668.8092775614,0.0127917562682722,3,0.934643467811623
"535",63,2846.85567294941,0.00154223933347661,2,0.459939496363529
"536",56,12118.2026638406,0.000997822609056863,2,0.886030030557404
"537",2000,1121.15520483317,0.117830621100959,14,0.23566643878867
"538",236,1583.98202173401,0.0161654811392866,6,0.386279642754927
"539",548,1693.93285882647,0.0193044391250295,5,0.924952040349793
"540",504,1651.6006393943,0.0195188300709657,8,0.635766820384929
"541",44,8257.92574809563,0.00126839060479591,1,0.999999999999996
"543",27,940.181414889016,0.0280453764795943,3,0.356776083926512
"545",147,485.604797256611,0.00164624943567131,2,0.984346844404709
"546",643,1016.64730024066,0.00642811475178484,4,0.813293286150837
"548",387,2021.61559844692,0.00613778596971803,6,0.87012844276697
"549",215,1007.93243142369,0.00443098425686101,4,0.599233615688667
"550",333,1200.55443159621,0.00285761417861237,8,0.716646196142594
"551",16,5140.11894823965,0.00126839060479591,1,0.999999999999999
"552",61,7320.6939394511,0.00126839060479591,1,0.999999999999997
"553",7,1722.15794267778,0.00126839060479591,1,0.999999999999997
"554",214,1069.02895705805,0.0204235061064115,6,0.466916590673131
"555",134,544.666422223021,0.051389236374088,5,0.331365664146805
"556",229,417.483934031788,0.00869670761722385,5,0.321319208720122
"557",15,9580.1359583673,0.00126839060479591,1,0.999999999999997
"558",746,233.737377555086,0.0370608417705419,8,0.323005693403452
"559",226,967.428463240823,0.00551550919091276,4,0.32928731397387
"560",859,904.277003689779,0.00749684308592531,4,0.905505240443915
"492",4,20218.8565709927,0.00126839060479591,1,1
"542",48,2218.78879822459,0.00518999862081219,2,0.970083856585375
