"","Ancistrocerus_sp","Andrena_sp","Anthrenus_sp","Apis_mellifera","Bombus_terrestris","Bombylius_sp","Ceratina_sp","Chalicodoma_sicula","Chasmatopterus_sp","Chelostoma_sp","Chrysolina_americana","Dasypoda_sp","Deilus_sp","Diodontus_insidiosus","Diptera_sp1","Diptera_sp3","Diptera_sp4","Diptera_sp6","Diptera_sp7","Diptera_sp8","Episyrphus_sp","Eristalis_sp","Halictidae_sp1","Halictus_sp","Heliotaurus_ruficollis","Hylaeus_sp","Lasioglossum_sp1","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp6","Lindenius_luteiventris","Lobonyx_aeneus","Malachius_sp","Megachile_sp","Megachilidae_sp","Microlepidoptera","Mordellidae_sp","Mylabris_sp","Nitidulidae_sp1","Nomada_sp","Nustera_distigma","Oedemera_sp","Phthiria_sp","Phthiria_sp1","Rhyncomyia_cupraea","Scaeva_sp","Sphaerophoria_scripta","Syrphidae_sp3","Syrphidae_sp4","Syrphidae_sp5","Tiphia_morio","Usia_sp","Vespidae","Vespula_sp","Xylocopa_cantabrita","Plant_id","Plant_sp","N_flowers","Flowering_min","degree","specificity"
"366",0,0,0,0,0.00080904359091889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0631030398679686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"366","CLIB",442,16800,2,0.978121314732785
"367",0.00264783759929391,0.00441306266548985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00088261253309797,0,0,0,0,0,0,0,0.00363597547183291,0.00135511490797241,0,0,0,0,0,0,0,0,0,0,0,0.00176522506619594,0,0,0,0.0185348631950574,0,0.00088261253309797,0,0,0,0,0,0,0,0,"367","CLIB",201,16800,8,0.262141557845572
"368",0,0,0.0017825311942959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017825311942959,0,0,0,0.0807547696521883,0,0.0195758564437194,0,0,0,0,0,0,0,0,0,0,0.0032626427406199,0,0,0,0.038897338463092,0,0.0065252854812398,0,0,0,0,0,0,0,0,"368","CLIB",71,21000,7,0.305981887654035
"369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4344601602161e-05,0,0,0,0,0,0,0,0,0,0,0,0.0688778248619838,0.00027726523720813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00247588717503461,0,0,0,0,5.54530474416259e-05,0,0,0,0,0.0134733393768747,"369","CLIB",409,16800,6,0.694177849276694
"370",0,0.01137102014295,0.00148746808141409,0.000414756842876276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000812215724496426,0,0,0,0,0.0791806875949752,0.00179463573009767,0,0,0,0,0,0,0,0,0,0,0,0.00161118066294139,0,0,0,0.00680629312523521,0.00730994152046784,0,0,0,0,0,0,0.00436484137546084,0,0,"370","CLIB",212,16800,10,0.478866423751951
"371",0,0.00181402604941407,4.69218093736835e-05,0,0.00341353453512269,0,0.00095758688105973,0,0,0,0,0.00616768856800784,0,0,0,0,0,0,0,0,4.69218093736835e-05,0,0.000725610419765628,0,0,0,0,0.0332621566072529,0.000281530856242101,0,0,0,0,0,0,0,0,0,0,0,0.000211046155794272,0,0,0,0.000422092311588544,0,0.0094180949390115,0,0,0,0,0,0.000725610419765628,0.000725610419765628,0,"371","CLIB",630,21000,14,0.313176849863287
"372",0,0,0.00471475719000471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162510947857656,0,0,0,0,0,0,0,0,0.00471475719000471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"372","CLIB",33,16800,3,0.44802345022798
"373",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106644847174721,0,0,0,0,0,0,0,0.00103573278094252,0,0,0,0.0345146263312467,0,0,0,0.00341542184668943,0,0,0,0,0,0,0,0,0.0013439562848044,0,0,0,0.0049994332040694,0,0,0,0,0,0,0,0,0,0,"373","CLIB",159,21000,6,0.575806448277734
"374",0,0,0,0,0,0,0.000478345656165443,0,0,0,0,0,0,0,0.00102729171660446,0,0,0,0.00102729171660446,0,0,0,0,0.00102729171660446,0,0,0,0.122101023036921,0,0,0,0,0,0,0,0,0,0.00102729171660446,0,0,0,0,0,0,0.00150046551691334,0,0,0,0,0,0,0,0.00010056370535746,0,0,"374","CLIB",153,16800,8,0.91643178842323
"375",0,0,0.00358990638040426,0,0.00170510040566435,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143129770992366,0,0,0,0,0.000954198473282443,0,0,0,0.0536587624268416,0,0,0,0.00404297885500808,0,0,0,0,0,0,0,0,0,0,0.00190839694656489,0,0.0192534158169514,0,0,0,0,0,0,0,0,0,0.000477099236641221,"375","CLIB",252,21000,9,0.404071452168494
