"","Andrena_sp","Anthophora_sp","Apis_mellifera","Attagenus_sp","Bombus_terrestris","Bombylius_sp","Cantharidae_sp","Colletes_sp","Dasypoda_sp","Diptera_sp7","Episyrphus_sp","Eristalis_sp","Eucera_sp","Eupeodes_sp","Hymenoptera_sp1","Lasioglossum_sp1","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp6","Lobonyx_aeneus","Malachius_sp","Malthodes_sp","Megachilidae_sp","Metasyrphus_corollae","Nitidulidae_sp1","Paragus_tibialis","Rhyncomyia_cupraea","Sphaerophoria_scripta","Syrphidae_sp1","Syrphidae_sp2","Syrphidae_sp3","Syrphidae_sp4","Xylocopa_cantabrita","Plant_id","Plant_sp","N_flowers","Flowering_min","degree","specificity"
"106",0.000290246273963458,0,0.0049182762494018,0,0,0,0,0,0,0,0,0,9.21612117342384e-05,0,0,0,0.0428133242138213,0,0.00203172391774421,0,0.000672653759661154,0,0,0,0,0,0,0,0,0,0,0,0,"106","HCOM",827,33600,6,0.679018995126769
"107",0,0,0,0,0,0,0,0,0,0,0,0,0.000415361709089481,0,0,0,0.0995778914581026,0,0,0.000467264245718691,0,0,0,0,0,0,0,0,0,0,0,0,0,"107","HCOM",506,33600,3,0.9814045221136
"109",0,0,0,0.00510204081632653,0,0,0,0,0,0,0,0,0,0,0,0,0.0492184743903348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"109","HCOM",190,29400,2,0.810797305914689
"110",0.0103186356470644,0,0,0,0,0,0,0,0,0.0056369785794814,0,0,0,0,0,0,0.113137544573732,0,0,0,0,0,0,0,0,0,0.00470311581422693,0,0,0,0.0165041948289813,0,0,"110","HCOM",377,33600,5,0.49993171998645
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00211669193982312,0,0,0,0.00211669193982312,0,0,0,0,0,0,0,0,0,0,0,0,"111","HCOM",170,21000,2,0.374705672914276
"112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0935096785779126,0,0,0.00199441563621859,0,0,0,0,0,0,0,0,0,0,0,0,0,"112","HCOM",193,29400,2,0.956165713157736
"113",0,0,0,0,0.00105321711254352,0,0,0,0,0,0,0.000308000308000308,0,0,0,0,0.0563949141017408,0,0,0.000308000308000308,0.000391560106748023,0,0.00277200277200277,0,0,0,0,0,0,0,4.43526168667697e-05,0,0,"113","HCOM",1066,33600,7,0.833757326453757
"114",0,0,0,0,0,0,0,0,0.00791369665334288,0,0,0.0041137752703338,0,0,0,0,0.0366150074540214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"114","HCOM",253,25200,3,0.52005697825463
"115",0,0,0.00904568068747173,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431760351173182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"115","HCOM",601,29400,2,0.669733945886116
"116",0.0113695090439276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052550013113557,0,0.0062015503875969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"116","HCOM",323,33600,3,0.513826939194579
"117",0,0,0.00527964343154752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00796996970204049,0,0,0,0.000190418266532999,0,0,0,0,0,0.000152767379190197,0,0,0,0,0,0,"117","HCOM",1403,33600,4,0.367036558512484
"118",0,0,0.00166986724555398,0,0,0.00027831120759233,0,0,0,0,0,0,0,0,0,0,0.032125444462396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"118","HCOM",481,29400,3,0.881397656299258
"119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0545894962418944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"119","HCOM",183,33600,1,0.999999999999998
"120",0,0,0,0,0,0,0,0.0011040980439063,0,0,0,0,0,0,0,0,0.0343057606749099,0,0,0.000614144973097562,0,0,0,0,0,0,0.000614144973097562,0,0,0,0,0,0,"120","HCOM",240,29400,4,0.86650358615963
"121",0,0,0.000535463558780193,0,0,0,0,0,0,0,0,0.00106603859846097,0.00308618162178844,0,0,0,0.111028493832318,0,0.00771545405447111,0,0.000825082508250825,0,0,0,0,0,0,0,0,0,0,0,0,"121","HCOM",521,33600,6,0.77926622865676
