"","Acmaeodera_sp","Andrena_sp","Apis_mellifera","Bombus_terrestris","Buprestidae_sp1","Buprestidae_sp2","Chasmatopterus_sp","Coptocephala_sp","Curculionidae","Dasypoda_sp","Diptera_sp1","Diptera_sp10","Diptera_sp4","Halictus_sp","Heliotaurus_ruficollis","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp4","Lasioglossum_sp6","Lobonyx_aeneus","Malachius_sp","Megachile_sp","Mordellidae_sp1","Mylabris_sp1","Nustera_distigma","Oedemera_sp","Osmia_sp","Paragus_tibialis","Phthiria_sp","Phthiria_sp1","Phthiria_sp2","Rhyncomyia_cupraea","Syritta_pipiens","Syrphidae_sp1","Tituboea_sp","Usia_sp","Vespula_sp","Xylocopa_cantabrita","Plant_id","Plant_sp","N_flowers","Flowering_min","degree","specificity"
"471",0,0,0,0,0,0,0.0136042729313207,0,0,0,0,0,0,0,0.00164708798862741,0.011903075061286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000548502173466744,0,0,0,0,0,3.98620765600831e-05,0,0,"471","HHAL",885,33600,5,0.307692639104838
"472",0,0,0.000272487925588051,2.82853517304192e-05,0,0,0.00633444160270339,0,0,0,0,0,0,0,0.00078458282354928,0.00238073210900488,0,1.29637671513603e-05,0,0,0,0,0,0,0,0,0,0,0,0.000345955602907793,7.30902996395285e-06,0,0,0,0,0,0,0,"472","HHAL",2017,33600,8,0.341909236641807
"473",7.37253287315439e-06,0,0,0,0,0,0.00952429809126765,0,3.6862664365772e-06,0,0,0,0,0,0.000492725389638073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0593638112005856,0,0,0,0,0,0,0,0,"473","HHAL",540,25200,5,0.733719798302343
"474",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195454958586604,0,0,0,0,0,0,0,"474","HHAL",7,12600,1,0.999999999999998
"475",0,0,0,0,0,0,0.0742997748030843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"475","HHAL",29,12600,1,0.999999999999997
"476",0,0,0,0,3.10633773467996e-05,0,0.0328299191758093,0,0,0,0,0,0,0,0,0.025222984292769,0,0,0,0,0,0,0,0,0,0.00097426269058299,0,0,0.00221786862824825,0.00079213787991841,0,0,0,0,0,0,0,0,"476","HHAL",488,29400,6,0.335450339222463
"477",0,0,0.00059632534812726,0,0,0,0.0553618909987362,0,0,0,0,0,0,0,0.00320177210951605,0.00168659127505349,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000326039121981628,0,0.000290497823366474,0,0,0,0,0,0,"477","HHAL",687,25200,6,0.806182617142948
"478",0,0,0,0,0,0,0.0732071556782701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"478","HHAL",3,4200,1,0.999999999999996
"479",0,0,0,0,0,0,0.0690490791307704,0,0,0,0,0.00137504209413405,0,0,0,0.0053850296176629,0,0,0,0.00383498485762958,0,0,0,0,0,0,0,0,0,0.00766996971525917,0,0,0,0,0,0,0,0,"479","HHAL",246,25200,5,0.599537104432361
"480",0,0,0,0,0,0,0.00911711804085669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"480","HHAL",45,16800,1,0.999999999999995
