"","Ancistrocerus_sp","Andrena_sp","Anthrenus_sp","Apis_mellifera","Bombus_terrestris","Bombylius_sp","Ceratina_sp","Chalicodoma_sicula","Chasmatopterus_sp","Chelostoma_sp","Chrysolina_americana","Dasypoda_sp","Deilus_sp","Diodontus_insidiosus","Diptera_sp1","Diptera_sp3","Diptera_sp4","Diptera_sp6","Diptera_sp7","Diptera_sp8","Episyrphus_sp","Eristalis_sp","Halictidae_sp1","Halictus_sp","Heliotaurus_ruficollis","Hylaeus_sp","Lasioglossum_sp1","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp6","Lindenius_luteiventris","Lobonyx_aeneus","Malachius_sp","Megachile_sp","Megachilidae_sp","Microlepidoptera","Mordellidae_sp","Mylabris_sp","Nitidulidae_sp1","Nomada_sp","Nustera_distigma","Oedemera_sp","Phthiria_sp","Phthiria_sp1","Rhyncomyia_cupraea","Scaeva_sp","Sphaerophoria_scripta","Syrphidae_sp3","Syrphidae_sp4","Syrphidae_sp5","Tiphia_morio","Usia_sp","Vespidae","Vespula_sp","Xylocopa_cantabrita"
"366",0,0,0,0,13.5919323274374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060.13106978187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"367",44.4836716681377,74.1394527802295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8278905560459,0,0,0,0,0,0,0,61.0843879267929,22.7659304539365,0,0,0,0,0,0,0,0,0,0,0,29.6557811120918,0,0,0,311.385701676964,0,14.8278905560459,0,0,0,0,0,0,0,0
"368",0,0,37.4331550802139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4331550802139,0,0,0,1695.85016269595,0,411.092985318107,0,0,0,0,0,0,0,0,0,0,68.5154975530179,0,0,0,816.844107724932,0,137.030995106036,0,0,0,0,0,0,0,0
"369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240989306916305,0,0,0,0,0,0,0,0,0,0,0,1157.14745768133,4.65805598509658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5949045405814,0,0,0,0,0.931611197019315,0,0,0,0,226.352101531495
"370",0,191.03313840156,24.9894637677567,6.96791496032144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.64522417154,0,0,0,0,1330.23555159558,30.1498802656409,0,0,0,0,0,0,0,0,0,0,0,27.0678351374154,0,0,0,114.345724503952,122.80701754386,0,0,0,0,0,0,73.3293351077421,0,0
"371",0,38.0945470376955,0.985357996847353,0,71.6842252375765,0,20.1093245022543,0,0,0,0,129.521459928165,0,0,0,0,0,0,0,0,0.985357996847353,0,15.2378188150782,0,0,0,0,698.505288752311,5.91214798108412,0,0,0,0,0,0,0,0,0,0,0,4.43196927167971,0,0,0,8.86393854335942,0,197.779993719242,0,0,0,0,0,15.2378188150782,15.2378188150782,0
"372",0,0,79.2079207920791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.018392400862,0,0,0,0,0,0,0,0,79.2079207920791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"373",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3954179066914,0,0,0,0,0,0,0,21.7503883997929,0,0,0,724.807152956181,0,0,0,71.723858780478,0,0,0,0,0,0,0,0,28.2230819808924,0,0,0,104.988097285457,0,0,0,0,0,0,0,0,0,0
"374",0,0,0,0,0,0,8.03620702357944,0,0,0,0,0,0,0,17.2585008389549,0,0,0,17.2585008389549,0,0,0,0,17.2585008389549,0,0,0,2051.29718702027,0,0,0,0,0,0,0,0,0,17.2585008389549,0,0,0,0,0,0,25.2078206841441,0,0,0,0,0,0,0,1.68947025000533,0,0
"375",0,0,75.3880339884895,0,35.8071085189514,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0572519083969,0,0,0,0,20.0381679389313,0,0,0,1126.83401096367,0,0,0,84.9025559551697,0,0,0,0,0,0,0,0,0,0,40.0763358778627,0,404.321732155979,0,0,0,0,0,0,0,0,0,10.0190839694656
"376",0,0,0,24.609975829488,13.4149238855194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070.98865131304,0,0,0,0,0,0,0,0,0,0,0,0,67.5260935676983,0,0,0,24.609975829488,0,61.3735996103263,0,0,0,29.6882731321128,0,0,0,43.067457701604
"377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.183960706233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"378",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.550445012988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"379",0,0,53.0824146761862,14.7011243873912,11.760899509913,0,0,0,26.5412073380931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.4216570930496,0,0,0,0,0,0,0,0,0,0
"381",0,0,13.1688162260634,0,0,0,0,0,0,0,0,0,10.7001525084842,0,0,0,0,0,0,0,0,0,0,0,6.5844081130317,0,0,845.913599256429,0,0,0,15.1926207270754,0,0,0,0,0,0,0,0,0,0,0,0,22.7889310906132,0,0,0,0,0,0,0,0,0,67.2398836833993
"382",0,0,75.2102656368586,0,1.65774951434698,0,0,64.9752475247524,0,0,0,0,0,21.6584158415841,0,0,0,0,0,0,19.9667221297837,0,0,0,0,0,0,2004.58224414377,0,0,0,9.79352737051391,0,6.00963101214095,53.2445923460898,0,0,0,0,0,0,0,0,0,239.411260685917,0,0,0,0,0,0,0,0,0,275.988336555282
"383",0,0,7904.36688890591,0,194.356839613094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197.14088882842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
