"","Andrena_sp","Anthophora_sp","Apis_mellifera","Attagenus_sp","Bombus_terrestris","Bombylius_sp","Cantharidae_sp","Colletes_sp","Dasypoda_sp","Diptera_sp7","Episyrphus_sp","Eristalis_sp","Eucera_sp","Eupeodes_sp","Hymenoptera_sp1","Lasioglossum_sp1","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp6","Lobonyx_aeneus","Malachius_sp","Malthodes_sp","Megachilidae_sp","Metasyrphus_corollae","Nitidulidae_sp1","Paragus_tibialis","Rhyncomyia_cupraea","Sphaerophoria_scripta","Syrphidae_sp1","Syrphidae_sp2","Syrphidae_sp3","Syrphidae_sp4","Xylocopa_cantabrita"
"106",9.75227480517219,0,165.2540819799,0,0,0,0,0,0,0,0,0,3.09661671427041,0,0,0,1438.5276935844,0,68.2659236362055,0,22.6011663246148,0,0,0,0,0,0,0,0,0,0,0,0
"107",0,0,0,0,0,0,0,0,0,0,0,0,13.9561534254066,0,0,0,3345.81715299225,0,0,15.700078656148,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,1447.02314707584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",346.706157741364,0,0,0,0,0,0,0,0,189.402480270575,0,0,0,0,0,0,3801.4214976774,0,0,0,0,0,0,0,0,0,158.024691358025,0,0,0,554.540946253772,0,0
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.4505307362855,0,0,0,44.4505307362855,0,0,0,0,0,0,0,0,0,0,0,0
"112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2749.18455019063,0,0,58.6358197048266,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",0,0,0,0,35.3880949814623,0,0,0,0,0,0,10.3488103488103,0,0,0,0,1894.86911381849,0,0,10.3488103488103,13.1564195867336,0,93.1392931392931,0,0,0,0,0,0,0,1.49024792672346,0,0
"114",0,0,0,0,0,0,0,0,199.425155664241,0,0,103.667136812412,0,0,0,0,922.698187841339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",0,0,265.943012211669,0,0,0,0,0,0,0,0,0,0,0,0,0,1269.37543244916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116",382.015503875967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1765.68044061552,0,208.372093023256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",0,0,177.396019299997,0,0,0,0,0,0,0,0,0,0,0,0,0,267.79098198856,0,0,0,6.39805375550877,0,0,0,0,0,5.13298394079062,0,0,0,0,0,0
"118",0,0,49.094097019287,0,0,8.1823495032145,0,0,0,0,0,0,0,0,0,0,944.488067194442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1834.20707372765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120",0,0,0,0,0,0,0,32.4604824908452,0,0,0,0,0,0,0,0,1008.58936384235,0,0,18.0558622090683,0,0,0,0,0,0,18.0558622090683,0,0,0,0,0,0
"121",0,0,17.9915755750145,0,0,0,0,0,0,0,0,35.8188969082886,103.695702492092,0,0,0,3730.55739276588,0,259.239256230229,0,27.7227722772277,0,0,0,0,0,0,0,0,0,0,0,0
"122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607.255667825876,0,0,10.2239556074818,44.6409666898359,0,0,0,0,0,0,0,0,0,0,0,0
"123",0,0,21.3701802857087,0,0,0,0,0,0,0,0,0,0,0,0,0,1566.76348754651,0,0,0,18.5473835379787,0,0,0,0,0,0,0,0,0,0,0,98.2252786901954
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2599.60948438952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0,0,0,0,0,617.918118352542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494.70752939428,0,665.133002743555
"126",0,0,0,0,0,22.4859719017134,0,0,0,0,0,0,0,0,0,0,209.061598506703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5181015497973
"127",0,0,0,0,0,20.9694195964219,0,0,0,0,0,0,0,0,0,0,174.724954683626,0,0,86.5756852231999,0,0,0,0,0,0,0,0,0,0,0,0,0
