"","Acmaeodera_sp","Andrena_sp","Apis_mellifera","Bombus_terrestris","Buprestidae_sp1","Buprestidae_sp2","Chasmatopterus_sp","Coptocephala_sp","Curculionidae","Dasypoda_sp","Diptera_sp1","Diptera_sp10","Diptera_sp4","Halictus_sp","Heliotaurus_ruficollis","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp4","Lasioglossum_sp6","Lobonyx_aeneus","Malachius_sp","Megachile_sp","Mordellidae_sp1","Mylabris_sp1","Nustera_distigma","Oedemera_sp","Osmia_sp","Paragus_tibialis","Phthiria_sp","Phthiria_sp1","Phthiria_sp2","Rhyncomyia_cupraea","Syritta_pipiens","Syrphidae_sp1","Tituboea_sp","Usia_sp","Vespula_sp","Xylocopa_cantabrita"
"471",0,0,0,0,0,0,457.103570492376,0,0,0,0,0,0,0,55.342156417881,399.94332205921,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4296730284826,0,0,0,0,0,1.33936577241879,0,0
"472",0,0,9.15559429975851,0.950387818142085,0,0,212.837237850834,0,0,0,0,0,0,0,26.3619828712558,79.992598862564,0,0.435582576285706,0,0,0,0,0,0,0,0,0,0,0,11.6241082577018,0.245583406788816,0,0,0,0,0,0,0
"473",0.185787828403491,0,0,0,0,0,240.012311899945,0,0.0928939142017454,0,0,0,0,0,12.4166798188794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495.96804225476,0,0,0,0,0,0,0,0
"474",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2462.73247819121,0,0,0,0,0,0,0
"475",0,0,0,0,0,0,936.177162518862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"476",0,0,0,0,0.913263293995908,0,965.199623768793,0,0,0,0,0,0,0,0,741.555738207409,0,0,0,0,0,0,0,0,0,28.6433231031399,0,0,65.2053376704986,23.2888536696013,0,0,0,0,0,0,0,0
"477",0,0,15.027398772807,0,0,0,1395.11965316815,0,0,0,0,0,0,0,80.6846571598045,42.502100131348,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21618587393703,0,7.32054514883514,0,0,0,0,0,0
"478",0,0,0,0,0,0,307.470053848734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"479",0,0,0,0,0,0,1740.03679409541,0,0,0,0,34.6510607721781,0,0,0,135.702746365105,0,0,0,96.6416184122654,0,0,0,0,0,0,0,0,0,193.283236824531,0,0,0,0,0,0,0,0
"480",0,0,0,0,0,0,153.167583086392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"482",6.3882714512141,0,0,0,0,0,4636.31528458706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.1243370654095,0,0,0,0,0,0,0,0,0,0,0,0
"483",0,0,0,0,0,0,3817.80506219516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
